"decimalLongitude" "decimalLatitude"
"1" -72.899789 -50.856212
"2" -72.880271 -49.332957
"3" -73.003504 -46.691532
"4" -72.618741 -46.768511
"5" -72.977282 -51.078924
"6" -71.871394 -45.945624
"7" -71.861515 -46.170668
"8" -71.889373 -46.043102
"9" -72.870217 -51.120359
"10" -72.008984 -46.011528
"11" -73.140408 -50.843048
"12" -71.850573 -45.998319
"13" -72.075934 -46.051394
"14" -71.911631 -45.84344
"15" -71.912101 -46.121329
"16" -73.993576 -48.547688
"17" -71.812525 -46.048185
"18" -72.545338 -46.657553
"19" -72.593418 -46.786765
"20" -72.975868 -51.183532
"21" -72.899215 -49.264835
"22" -73.036672 -51.049764
"23" -72.338881 -47.070423
"24" -72.939395 -49.374829
"25" -72.750918 -46.087467
"26" -72.177762 -46.881789
"27" -72.917198 -49.301754
"28" -72.879166 -49.370639
"29" -72.977121 -51.015109
"30" -71.870263 -46.086858
"31" -72.024243 -45.921561
"32" -72.134809 -46.116888
"33" -72.890621 -46.03708
"34" -72.437509 -47.204851
"35" -72.454887 -47.006004
"36" -73.014559 -51.036349
"37" -73.031902 -51.175309
"38" -72.729439 -46.256023
"39" -71.31538 -41.3011
"40" -71.31538 -41.3011
"41" -71.716667 -44.86667
"42" -71.716667 -44.86667
"43" -71.30989 -40.81978
"44" -71.31538 -41.3011
"45" -73.02467 -50.46476
"46" -71.33186 -41.26523
"47" -73.01764 -50.46747
"48" -71.540802 -36.782606
"49" -71.540802 -36.782606
"50" -71.699997 -45.266666
"51" -71.699997 -45.266666
"52" -71.699997 -45.266666
"53" -72.08 -47.25
"54" -71.367135 -41.135741
"55" -71.71094 -42.75692
"56" -70.911288 -53.15483
"57" -73.847606 -42.547457
"58" -71.540802 -36.782606
"59" -71.540802 -36.782606
"60" -71.647184 -40.226046
"61" -67.885336 -43.993755
